2022-11-17 02:29:43 - INFO - python seal_hints.py --dataset bca --train_start 0 --train_end 10 --valid_start 10 --valid_end 11 --log bca_100k --k 100
2022-11-17 02:29:43 - INFO - Namespace(log='bca_100k', gid=3, dataset='bca', data_path='../../01_process/data_papers/bca/', train_start=0, train_end=10, valid_start=10, valid_end=11, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=3), num_rels=4)
2022-11-17 02:29:51 - INFO - {'mrr': {10: 0.032685961574316025}, 'cor': {}, 'male': {}}
2022-11-17 02:29:51 - INFO - epoch: 0, train: {'mrr': {5: 0.7372834086418152, 6: 0.8350439667701721, 7: 0.8270062208175659, 8: 0.8054496049880981, 9: 0.7829797267913818}, 'cor': 0, 'male': 0, 'loss': 1.3836}, valid: {'mrr': {10: 0.03897247463464737}, 'cor': {}, 'male': {}}
2022-11-17 02:29:52 - INFO - epoch: 1, train: {'mrr': {5: 0.8448854088783264, 6: 0.8365102410316467, 7: 0.8183565735816956, 8: 0.8062670230865479, 9: 0.7799815535545349}, 'cor': 0, 'male': 0, 'loss': 1.3714}, valid: {'mrr': {10: 0.11298753321170807}, 'cor': {}, 'male': {}}
2022-11-17 02:29:53 - INFO - epoch: 2, train: {'mrr': {5: 0.8641699552536011, 6: 0.8357771039009094, 7: 0.8272464871406555, 8: 0.7997274994850159, 9: 0.803966760635376}, 'cor': 0, 'male': 0, 'loss': 1.3499}, valid: {'mrr': {10: 0.06094934791326523}, 'cor': {}, 'male': {}}
2022-11-17 02:29:53 - INFO - epoch: 3, train: {'mrr': {5: 0.8563443422317505, 6: 0.8333333134651184, 7: 0.8222008943557739, 8: 0.8204359412193298, 9: 0.8164206743240356}, 'cor': 0, 'male': 0, 'loss': 1.3095}, valid: {'mrr': {10: 0.05526989698410034}, 'cor': {}, 'male': {}}
2022-11-17 02:29:54 - INFO - epoch: 4, train: {'mrr': {5: 0.8672442436218262, 6: 0.8350439667701721, 7: 0.818116307258606, 8: 0.8010899424552917, 9: 0.8041974306106567}, 'cor': 0, 'male': 0, 'loss': 1.299}, valid: {'mrr': {10: 0.05251825600862503}, 'cor': {}, 'male': {}}
2022-11-17 02:29:54 - INFO - epoch: 5, train: {'mrr': {5: 0.8569033145904541, 6: 0.8206256031990051, 7: 0.8212397694587708, 8: 0.8316076397895813, 9: 0.8180350661277771}, 'cor': 0, 'male': 0, 'loss': 1.28}, valid: {'mrr': {10: 0.06407824903726578}, 'cor': {}, 'male': {}}
2022-11-17 02:29:55 - INFO - epoch: 6, train: {'mrr': {5: 0.8605366349220276, 6: 0.8526393175125122, 7: 0.8308505415916443, 8: 0.8228882551193237, 9: 0.794741690158844}, 'cor': 0, 'male': 0, 'loss': 1.2186}, valid: {'mrr': {10: 0.10752993822097778}, 'cor': {}, 'male': {}}
2022-11-17 02:29:56 - INFO - epoch: 7, train: {'mrr': {5: 0.8731134533882141, 6: 0.8653470277786255, 7: 0.8469485640525818, 8: 0.8166212439537048, 9: 0.8041974306106567}, 'cor': 0, 'male': 0, 'loss': 1.217}, valid: {'mrr': {10: 0.22413447499275208}, 'cor': {}, 'male': {}}
2022-11-17 02:29:57 - INFO - epoch: 8, train: {'mrr': {5: 0.8678032159805298, 6: 0.8773216009140015, 7: 0.8546372056007385, 8: 0.8433242440223694, 9: 0.8041974306106567}, 'cor': 0, 'male': 0, 'loss': 1.2011}, valid: {'mrr': {10: 0.11955885589122772}, 'cor': {}, 'male': {}}
2022-11-17 02:29:57 - INFO - epoch: 9, train: {'mrr': {5: 0.8977082371711731, 6: 0.8658357858657837, 7: 0.8659298419952393, 8: 0.8542234301567078, 9: 0.8362545967102051}, 'cor': 0, 'male': 0, 'loss': 1.1745}, valid: {'mrr': {10: 0.07116829603910446}, 'cor': {}, 'male': {}}
2022-11-17 02:29:58 - INFO - epoch: 10, train: {'mrr': {5: 0.8873672485351562, 6: 0.8829423189163208, 7: 0.8652090430259705, 8: 0.8185285925865173, 9: 0.8178044557571411}, 'cor': 0, 'male': 0, 'loss': 1.2023}, valid: {'mrr': {10: 0.0419154092669487}, 'cor': {}, 'male': {}}
