2022-11-17 02:36:24 - INFO - python seal_hints.py --dataset bco -ts 0 -te 10 -vs 10 -ve 11 --k 100 --log bco --log bco_100k
2022-11-17 02:36:24 - INFO - Namespace(log='bco_100k', gid=1, dataset='bco', data_path='../../01_process/data_papers/bco/', train_start=0, train_end=10, valid_start=10, valid_end=11, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=1), num_rels=4)
2022-11-17 02:36:31 - INFO - {'mrr': {10: 0.02854056842625141}, 'cor': {}, 'male': {}}
2022-11-17 02:36:31 - INFO - epoch: 0, train: {'mrr': {5: 0.7425000071525574, 6: 0.8716981410980225, 7: 0.8651488423347473, 8: 0.8275327086448669, 9: 0.7949599027633667}, 'cor': 0, 'male': 0, 'loss': 1.3809}, valid: {'mrr': {10: 0.047520846128463745}, 'cor': {}, 'male': {}}
2022-11-17 02:36:32 - INFO - epoch: 1, train: {'mrr': {5: 0.9002777934074402, 6: 0.8707547187805176, 7: 0.8651488423347473, 8: 0.8301171660423279, 9: 0.7899197936058044}, 'cor': 0, 'male': 0, 'loss': 1.3448}, valid: {'mrr': {10: 0.0334051214158535}, 'cor': {}, 'male': {}}
2022-11-17 02:36:32 - INFO - epoch: 2, train: {'mrr': {5: 0.8966666460037231, 6: 0.8820754885673523, 7: 0.8470519781112671, 8: 0.8227084875106812, 9: 0.7903780341148376}, 'cor': 0, 'male': 0, 'loss': 1.3236}, valid: {'mrr': {10: 0.04544585570693016}, 'cor': {}, 'male': {}}
2022-11-17 02:36:33 - INFO - epoch: 3, train: {'mrr': {5: 0.894444465637207, 6: 0.8724528551101685, 7: 0.8409223556518555, 8: 0.8278773427009583, 9: 0.8001145720481873}, 'cor': 0, 'male': 0, 'loss': 1.2442}, valid: {'mrr': {10: 0.045682139694690704}, 'cor': {}, 'male': {}}
2022-11-17 02:36:33 - INFO - epoch: 4, train: {'mrr': {5: 0.8955555558204651, 6: 0.8683018684387207, 7: 0.8381494283676147, 8: 0.8154720664024353, 9: 0.7958762645721436}, 'cor': 0, 'male': 0, 'loss': 1.1976}, valid: {'mrr': {10: 0.055594414472579956}, 'cor': {}, 'male': {}}
2022-11-17 02:36:34 - INFO - epoch: 5, train: {'mrr': {5: 0.8897222280502319, 6: 0.8841509222984314, 7: 0.8448628187179565, 8: 0.8321846723556519, 9: 0.7887743711471558}, 'cor': 0, 'male': 0, 'loss': 1.2435}, valid: {'mrr': {10: 0.041074372828006744}, 'cor': {}, 'male': {}}
2022-11-17 02:36:35 - INFO - epoch: 6, train: {'mrr': {5: 0.9100000262260437, 6: 0.8818867802619934, 7: 0.8566842079162598, 8: 0.8382150530815125, 9: 0.8189003467559814}, 'cor': 0, 'male': 0, 'loss': 1.188}, valid: {'mrr': {10: 0.059592846781015396}, 'cor': {}, 'male': {}}
2022-11-17 02:36:36 - INFO - epoch: 7, train: {'mrr': {5: 0.8991666436195374, 6: 0.8837735652923584, 7: 0.8699649572372437, 8: 0.8280496001243591, 9: 0.8168385028839111}, 'cor': 0, 'male': 0, 'loss': 1.1767}, valid: {'mrr': {10: 0.04625823721289635}, 'cor': {}, 'male': {}}
2022-11-17 02:36:37 - INFO - epoch: 8, train: {'mrr': {5: 0.8963888883590698, 6: 0.8854717016220093, 7: 0.8594570755958557, 8: 0.8414885997772217, 9: 0.8050401210784912}, 'cor': 0, 'male': 0, 'loss': 1.1522}, valid: {'mrr': {10: 0.07580495625734329}, 'cor': {}, 'male': {}}
2022-11-17 02:36:38 - INFO - epoch: 9, train: {'mrr': {5: 0.8916666507720947, 6: 0.8905660510063171, 7: 0.8657326102256775, 8: 0.8368366360664368, 9: 0.8018327355384827}, 'cor': 0, 'male': 0, 'loss': 1.1849}, valid: {'mrr': {10: 0.04567357525229454}, 'cor': {}, 'male': {}}
2022-11-17 02:36:39 - INFO - epoch: 10, train: {'mrr': {5: 0.9013888835906982, 6: 0.8805660605430603, 7: 0.8687974214553833, 8: 0.8344245553016663, 9: 0.815120279788971}, 'cor': 0, 'male': 0, 'loss': 1.1682}, valid: {'mrr': {10: 0.04641444981098175}, 'cor': {}, 'male': {}}
