2022-11-17 03:59:52 - INFO - python seal_hints.py --dataset rdb --train_start 0 --train_end 10 --valid_start 10 --valid_end 11 --log rdb_100k --k 100 --embed_dim 86
2022-11-17 03:59:52 - INFO - Namespace(log='rdb_100k', gid=3, dataset='rdb', data_path='../../01_process/data_papers/rdb/', train_start=0, train_end=10, valid_start=10, valid_end=11, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=86, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=3), num_rels=4)
2022-11-17 04:00:02 - INFO - {'mrr': {10: 0.041286204010248184}, 'cor': {}, 'male': {}}
2022-11-17 04:00:07 - INFO - epoch: 0, train: {'mrr': {5: 0.9737227559089661, 6: 0.9885538816452026, 7: 0.9967895150184631, 8: 0.9900893568992615, 9: 0.9849944114685059}, 'cor': 0, 'male': 0, 'loss': 18.8297}, valid: {'mrr': {10: 0.11341030150651932}, 'cor': {}, 'male': {}}
2022-11-17 04:00:12 - INFO - epoch: 1, train: {'mrr': {5: 0.9910315275192261, 6: 0.9938232898712158, 7: 0.9958472847938538, 8: 0.9952540397644043, 9: 0.9882048964500427}, 'cor': 0, 'male': 0, 'loss': 15.302}, valid: {'mrr': {10: 0.10543123632669449}, 'cor': {}, 'male': {}}
2022-11-17 04:00:17 - INFO - epoch: 2, train: {'mrr': {5: 0.9953936338424683, 6: 0.9973478317260742, 7: 0.9956030249595642, 8: 0.992218017578125, 9: 0.9908221960067749}, 'cor': 0, 'male': 0, 'loss': 16.6255}, valid: {'mrr': {10: 0.10662786662578583}, 'cor': {}, 'male': {}}
2022-11-17 04:00:22 - INFO - epoch: 3, train: {'mrr': {5: 0.9961264729499817, 6: 0.9931602478027344, 7: 0.9952540397644043, 8: 0.9980108737945557, 9: 0.9967545866966248}, 'cor': 0, 'male': 0, 'loss': 16.497}, valid: {'mrr': {10: 0.1165430098772049}, 'cor': {}, 'male': {}}
2022-11-17 04:00:26 - INFO - epoch: 4, train: {'mrr': {5: 0.9969989061355591, 6: 0.9934394359588623, 7: 0.9870184063911438, 8: 0.989356517791748, 9: 0.9912060499191284}, 'cor': 0, 'male': 0, 'loss': 15.0383}, valid: {'mrr': {10: 0.1049080565571785}, 'cor': {}, 'male': {}}
2022-11-17 04:00:32 - INFO - epoch: 5, train: {'mrr': {5: 0.9959170818328857, 6: 0.9949748516082764, 7: 0.9945561289787292, 8: 0.9956728219985962, 9: 0.9929159879684448}, 'cor': 0, 'male': 0, 'loss': 15.0885}, valid: {'mrr': {10: 0.09159008413553238}, 'cor': {}, 'male': {}}
2022-11-17 04:00:36 - INFO - epoch: 6, train: {'mrr': {5: 0.9917643666267395, 6: 0.9910664558410645, 7: 0.9973478317260742, 8: 0.999022901058197, 9: 0.9987088441848755}, 'cor': 0, 'male': 0, 'loss': 15.5472}, valid: {'mrr': {10: 0.11649907380342484}, 'cor': {}, 'male': {}}
2022-11-17 04:00:41 - INFO - epoch: 7, train: {'mrr': {5: 0.9991275668144226, 6: 0.9988135099411011, 7: 0.9979062080383301, 8: 0.9968941807746887, 9: 0.9909268617630005}, 'cor': 0, 'male': 0, 'loss': 15.2944}, valid: {'mrr': {10: 0.08805994689464569}, 'cor': {}, 'male': {}}
2022-11-17 04:00:46 - INFO - epoch: 8, train: {'mrr': {5: 0.9878908395767212, 6: 0.9979760050773621, 7: 0.998115599155426, 8: 0.999790608882904, 9: 0.9996161460876465}, 'cor': 0, 'male': 0, 'loss': 16.6903}, valid: {'mrr': {10: 0.12043876945972443}, 'cor': {}, 'male': {}}
2022-11-17 04:00:50 - INFO - epoch: 9, train: {'mrr': {5: 0.9994416236877441, 6: 0.9985692501068115, 7: 0.9965452551841736, 8: 0.9968593120574951, 9: 0.9970337748527527}, 'cor': 0, 'male': 0, 'loss': 16.6003}, valid: {'mrr': {10: 0.11862070858478546}, 'cor': {}, 'male': {}}
2022-11-17 04:00:55 - INFO - epoch: 10, train: {'mrr': {5: 0.9979760050773621, 6: 0.9977666139602661, 7: 0.998953104019165, 8: 0.9984296560287476, 9: 0.9975223541259766}, 'cor': 0, 'male': 0, 'loss': 16.9914}, valid: {'mrr': {10: 0.11640247702598572}, 'cor': {}, 'male': {}}
