2022-11-24 02:29:07 - INFO - python 21_mbsl.py --dataset rdb --k 100 --train_start 0 --train_end 10 --valid_start 11 --valid_end 12 --log rdb_mbsl --gid 2
2022-11-24 02:29:07 - INFO - Namespace(log='rdb_mbsl', gid=2, dataset='rdb', data_path='../preprocess/data/rdb/', train_start=0, train_end=10, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=2), num_rels=4)
2022-11-24 02:29:09 - INFO - all_g: Data(x=[25024, 300], edge_index=[2, 151156], edge_attr=[151156], num_nodes=25024, ts_infos=[11, 3], raw_nid=[25024], train_val_split=143281)
2022-11-24 02:29:42 - INFO - python 21_mbsl.py --dataset rdb --k 100 --train_start 0 --train_end 10 --valid_start 11 --valid_end 12 --log rdb_mbsl --gid 2 --embed_dim 300
2022-11-24 02:29:42 - INFO - Namespace(log='rdb_mbsl', gid=2, dataset='rdb', data_path='../preprocess/data/rdb/', train_start=0, train_end=10, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=300, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=2), num_rels=4)
2022-11-24 02:29:43 - INFO - all_g: Data(x=[25024, 300], edge_index=[2, 151156], edge_attr=[151156], num_nodes=25024, ts_infos=[11, 3], raw_nid=[25024], train_val_split=143281)
2022-11-24 02:29:58 - INFO - epoch: 0, valid: {11: {'mrr': 0.23930807411670685, 'hits@1,3,10': [0.13071298599243164, 0.2431444227695465, 0.47440585494041443], 'ndcg,@100': [0.38758868352683595, 0.38717770397939916], 'male': 0.8339, 'rmsle': 1.1806, 'cor': 0.5858}}, train: {'mrr': 0.8878, 'cor': 0.1283, 'loss': 1.3023}
2022-11-24 02:30:08 - INFO - epoch: 1, valid: {11: {'mrr': 0.40679195523262024, 'hits@1,3,10': [0.28610602021217346, 0.45703840255737305, 0.6371115446090698], 'ndcg,@100': [0.5254023834653659, 0.525265390282887], 'male': 0.7707, 'rmsle': 1.0677, 'cor': 0.6123}}, train: {'mrr': 0.938, 'cor': 0.6317, 'loss': 0.9666}
2022-11-24 02:30:14 - INFO - epoch: 2, valid: {11: {'mrr': 0.4216732680797577, 'hits@1,3,10': [0.29524680972099304, 0.47440585494041443, 0.6773309111595154], 'ndcg,@100': [0.5388812240348022, 0.5386072376698444], 'male': 0.7384, 'rmsle': 1.0296, 'cor': 0.6379}}, train: {'mrr': 0.9559, 'cor': 0.6908, 'loss': 0.7459}
2022-11-24 02:30:22 - INFO - epoch: 3, valid: {11: {'mrr': 0.4495558440685272, 'hits@1,3,10': [0.3153564929962158, 0.5219378471374512, 0.7248628735542297], 'ndcg,@100': [0.5633856469716316, 0.5631116606066738], 'male': 0.6777, 'rmsle': 0.9401, 'cor': 0.6804}}, train: {'mrr': 0.9646, 'cor': 0.7213, 'loss': 0.6386}
2022-11-24 02:30:31 - INFO - epoch: 4, valid: {11: {'mrr': 0.4902554750442505, 'hits@1,3,10': [0.36106032133102417, 0.5475320219993591, 0.7586837410926819], 'ndcg,@100': [0.5959141988219184, 0.5955032192744815], 'male': 0.6579, 'rmsle': 0.9251, 'cor': 0.7159}}, train: {'mrr': 0.975, 'cor': 0.7628, 'loss': 0.5365}
2022-11-24 02:30:39 - INFO - epoch: 5, valid: {11: {'mrr': 0.5295143723487854, 'hits@1,3,10': [0.4067641794681549, 0.5895795226097107, 0.7751371264457703], 'ndcg,@100': [0.6266687583241609, 0.6262577787767241], 'male': 0.6419, 'rmsle': 0.9133, 'cor': 0.7289}}, train: {'mrr': 0.9815, 'cor': 0.7852, 'loss': 0.4643}
2022-11-24 02:30:46 - INFO - epoch: 6, valid: {11: {'mrr': 0.5524008870124817, 'hits@1,3,10': [0.4305301606655121, 0.6288848519325256, 0.7851919531822205], 'ndcg,@100': [0.6448619544521068, 0.6437660089922753], 'male': 0.637, 'rmsle': 0.8993, 'cor': 0.7382}}, train: {'mrr': 0.9845, 'cor': 0.8021, 'loss': 0.4123}
2022-11-24 02:30:55 - INFO - epoch: 7, valid: {11: {'mrr': 0.5665423274040222, 'hits@1,3,10': [0.44972577691078186, 0.6307129859924316, 0.7897623181343079], 'ndcg,@100': [0.6559407556139236, 0.6555297760664869], 'male': 0.6277, 'rmsle': 0.8757, 'cor': 0.7511}}, train: {'mrr': 0.9869, 'cor': 0.8122, 'loss': 0.3819}
2022-11-24 02:31:03 - INFO - epoch: 8, valid: {11: {'mrr': 0.5824336409568787, 'hits@1,3,10': [0.47074955701828003, 0.64716637134552, 0.7989031076431274], 'ndcg,@100': [0.6685010443655413, 0.6680900648181045], 'male': 0.6185, 'rmsle': 0.8644, 'cor': 0.7595}}, train: {'mrr': 0.989, 'cor': 0.8222, 'loss': 0.3676}
2022-11-24 02:31:11 - INFO - epoch: 9, valid: {11: {'mrr': 0.5812044143676758, 'hits@1,3,10': [0.45978063344955444, 0.6553930640220642, 0.8126142621040344], 'ndcg,@100': [0.668297828130529, 0.6678868485830922], 'male': 0.6078, 'rmsle': 0.8463, 'cor': 0.7715}}, train: {'mrr': 0.9899, 'cor': 0.8276, 'loss': 0.3436}
2022-11-24 02:31:20 - INFO - epoch: 10, valid: {11: {'mrr': 0.5956214666366577, 'hits@1,3,10': [0.4734917879104614, 0.6709323525428772, 0.8126142621040344], 'ndcg,@100': [0.6798833644791048, 0.6794723849316681], 'male': 0.6093, 'rmsle': 0.8423, 'cor': 0.7716}}, train: {'mrr': 0.9909, 'cor': 0.8364, 'loss': 0.3221}
