2022-11-24 02:32:05 - INFO - python 21_mbsl.py --dataset rdt --k 100 --train_start 0 --train_end 10 --valid_start 11 --valid_end 12 --log rdt_mbsl --gid 2 --embed_dim 300
2022-11-24 02:32:05 - INFO - Namespace(log='rdt_mbsl', gid=2, dataset='rdt', data_path='../preprocess/data/rdt/', train_start=0, train_end=10, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=300, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=2), num_rels=4)
2022-11-24 02:32:30 - INFO - all_g: Data(x=[37464, 300], edge_index=[2, 291689], edge_attr=[291689], num_nodes=37464, ts_infos=[11, 3], raw_nid=[37464], train_val_split=285964)
2022-11-24 02:32:50 - INFO - epoch: 0, valid: {11: {'mrr': 0.6579974293708801, 'hits@1,3,10': [0.5361881852149963, 0.7412545084953308, 0.8860072493553162], 'ndcg,@100': [0.7340210228140391, 0.7340210228140391], 'male': 1.3957, 'rmsle': 1.7447, 'cor': 0.4758}}, train: {'mrr': 0.9213, 'cor': 0.1891, 'loss': 1.1207}
2022-11-24 02:33:05 - INFO - epoch: 1, valid: {11: {'mrr': 0.6769973635673523, 'hits@1,3,10': [0.5488540530204773, 0.7762364149093628, 0.9059107303619385], 'ndcg,@100': [0.7496857547231981, 0.7495049699926409], 'male': 0.8438, 'rmsle': 1.1197, 'cor': 0.815}}, train: {'mrr': 0.975, 'cor': 0.5162, 'loss': 0.6058}
2022-11-24 02:33:22 - INFO - epoch: 2, valid: {11: {'mrr': 0.6850416660308838, 'hits@1,3,10': [0.5560916662216187, 0.7828709483146667, 0.9167671799659729], 'ndcg,@100': [0.7565217611931829, 0.7564313688279043], 'male': 0.7441, 'rmsle': 1.0056, 'cor': 0.8673}}, train: {'mrr': 0.9823, 'cor': 0.7475, 'loss': 0.4676}
2022-11-24 02:33:40 - INFO - epoch: 3, valid: {11: {'mrr': 0.7030898332595825, 'hits@1,3,10': [0.5802171230316162, 0.7943305373191833, 0.9191797375679016], 'ndcg,@100': [0.7702522793893171, 0.7698907099282026], 'male': 0.7006, 'rmsle': 0.936, 'cor': 0.8954}}, train: {'mrr': 0.9859, 'cor': 0.8025, 'loss': 0.406}
2022-11-24 02:33:59 - INFO - epoch: 4, valid: {11: {'mrr': 0.7139354348182678, 'hits@1,3,10': [0.5940892696380615, 0.8033775687217712, 0.9318456053733826], 'ndcg,@100': [0.7789277650657314, 0.7785661956046168], 'male': 0.6471, 'rmsle': 0.9177, 'cor': 0.9277}}, train: {'mrr': 0.989, 'cor': 0.8586, 'loss': 0.3625}
2022-11-24 02:34:18 - INFO - epoch: 5, valid: {11: {'mrr': 0.7296371459960938, 'hits@1,3,10': [0.6170084476470947, 0.8184559941291809, 0.9294330477714539], 'ndcg,@100': [0.7909777240653547, 0.7906161546042404], 'male': 0.6037, 'rmsle': 0.8771, 'cor': 0.9249}}, train: {'mrr': 0.9909, 'cor': 0.9049, 'loss': 0.3252}
2022-11-24 02:34:35 - INFO - epoch: 6, valid: {11: {'mrr': 0.7432690262794495, 'hits@1,3,10': [0.6332931518554688, 0.8311218619346619, 0.9330518841743469], 'ndcg,@100': [0.8016489221016738, 0.8011969602752808], 'male': 0.6351, 'rmsle': 0.9271, 'cor': 0.9238}}, train: {'mrr': 0.9925, 'cor': 0.9191, 'loss': 0.2994}
2022-11-24 02:34:52 - INFO - epoch: 7, valid: {11: {'mrr': 0.7398256063461304, 'hits@1,3,10': [0.6266586184501648, 0.8262967467308044, 0.9342581629753113], 'ndcg,@100': [0.7991675808679688, 0.798806011406854], 'male': 0.6316, 'rmsle': 0.9068, 'cor': 0.9271}}, train: {'mrr': 0.9936, 'cor': 0.9234, 'loss': 0.2725}
2022-11-24 02:35:09 - INFO - epoch: 8, valid: {11: {'mrr': 0.7453623414039612, 'hits@1,3,10': [0.6326900124549866, 0.8359469175338745, 0.9342581629753113], 'ndcg,@100': [0.8034270914772822, 0.8034270914772822], 'male': 0.6385, 'rmsle': 0.9096, 'cor': 0.9263}}, train: {'mrr': 0.9934, 'cor': 0.9258, 'loss': 0.2633}
2022-11-24 02:35:23 - INFO - epoch: 9, valid: {11: {'mrr': 0.745594322681427, 'hits@1,3,10': [0.6314837336540222, 0.8401688933372498, 0.9366706609725952], 'ndcg,@100': [0.8033017515806815, 0.8031209668501241], 'male': 0.6376, 'rmsle': 0.9145, 'cor': 0.9287}}, train: {'mrr': 0.9944, 'cor': 0.9273, 'loss': 0.2481}
2022-11-24 02:35:41 - INFO - epoch: 10, valid: {11: {'mrr': 0.7550246119499207, 'hits@1,3,10': [0.6507840752601624, 0.8383594751358032, 0.9354644417762756], 'ndcg,@100': [0.8104030804861805, 0.8102222957556233], 'male': 0.6477, 'rmsle': 0.9588, 'cor': 0.932}}, train: {'mrr': 0.9946, 'cor': 0.93, 'loss': 0.2426}
2022-11-24 02:35:59 - INFO - epoch: 11, valid: {11: {'mrr': 0.7450944185256958, 'hits@1,3,10': [0.6302774548530579, 0.837756335735321, 0.9372738003730774], 'ndcg,@100': [0.8032121264866506, 0.8032121264866506], 'male': 0.5926, 'rmsle': 0.8635, 'cor': 0.9341}}, train: {'mrr': 0.9946, 'cor': 0.9304, 'loss': 0.2351}
2022-11-24 02:36:18 - INFO - epoch: 12, valid: {11: {'mrr': 0.7503010034561157, 'hits@1,3,10': [0.6381182074546814, 0.8395657539367676, 0.9384800791740417], 'ndcg,@100': [0.807458301404834, 0.8072775166742766], 'male': 0.6375, 'rmsle': 0.929, 'cor': 0.9292}}, train: {'mrr': 0.9949, 'cor': 0.9316, 'loss': 0.2332}
2022-11-24 02:36:36 - INFO - epoch: 13, valid: {11: {'mrr': 0.7558168768882751, 'hits@1,3,10': [0.6465620994567871, 0.8443908095359802, 0.9348613023757935], 'ndcg,@100': [0.8115301591943755, 0.8115301591943755], 'male': 0.6497, 'rmsle': 0.9371, 'cor': 0.9325}}, train: {'mrr': 0.9951, 'cor': 0.9323, 'loss': 0.2242}
2022-11-24 02:36:53 - INFO - epoch: 14, valid: {11: {'mrr': 0.7584714293479919, 'hits@1,3,10': [0.6513872146606445, 0.8462002277374268, 0.9354644417762756], 'ndcg,@100': [0.813005796317796, 0.813005796317796], 'male': 0.6352, 'rmsle': 0.9155, 'cor': 0.9345}}, train: {'mrr': 0.9953, 'cor': 0.9331, 'loss': 0.2231}
2022-11-24 02:37:10 - INFO - epoch: 15, valid: {11: {'mrr': 0.7600741386413574, 'hits@1,3,10': [0.6531966328620911, 0.8474065065383911, 0.9336550235748291], 'ndcg,@100': [0.8145401289495615, 0.8145401289495615], 'male': 0.6279, 'rmsle': 0.9383, 'cor': 0.9307}}, train: {'mrr': 0.9955, 'cor': 0.9343, 'loss': 0.2171}
2022-11-24 02:37:28 - INFO - epoch: 16, valid: {11: {'mrr': 0.7595170736312866, 'hits@1,3,10': [0.6525934934616089, 0.8462002277374268, 0.9366706609725952], 'ndcg,@100': [0.8145749766188947, 0.8145749766188947], 'male': 0.6694, 'rmsle': 0.9707, 'cor': 0.9212}}, train: {'mrr': 0.9956, 'cor': 0.9351, 'loss': 0.2154}
2022-11-24 02:37:45 - INFO - epoch: 17, valid: {11: {'mrr': 0.7651295065879822, 'hits@1,3,10': [0.6610373854637146, 0.8498190641403198, 0.9384800791740417], 'ndcg,@100': [0.8183159386289786, 0.817954369167864], 'male': 0.6196, 'rmsle': 0.925, 'cor': 0.9361}}, train: {'mrr': 0.9957, 'cor': 0.9354, 'loss': 0.21}
2022-11-24 02:38:03 - INFO - epoch: 18, valid: {11: {'mrr': 0.7674276232719421, 'hits@1,3,10': [0.6664656400680542, 0.8413751721382141, 0.9384800791740417], 'ndcg,@100': [0.8198012895537931, 0.8197560933711536], 'male': 0.6372, 'rmsle': 0.9234, 'cor': 0.9306}}, train: {'mrr': 0.996, 'cor': 0.936, 'loss': 0.2078}
2022-11-24 02:38:21 - INFO - epoch: 19, valid: {11: {'mrr': 0.7692352533340454, 'hits@1,3,10': [0.6652593612670898, 0.8552472591400146, 0.9378769397735596], 'ndcg,@100': [0.8218005286693248, 0.8218005286693248], 'male': 0.6199, 'rmsle': 0.9131, 'cor': 0.9294}}, train: {'mrr': 0.996, 'cor': 0.9368, 'loss': 0.2053}
2022-11-24 02:38:40 - INFO - epoch: 20, valid: {11: {'mrr': 0.7722749710083008, 'hits@1,3,10': [0.6731001138687134, 0.8510253429412842, 0.9396863579750061], 'ndcg,@100': [0.8237557126835975, 0.823665320318319], 'male': 0.625, 'rmsle': 0.9218, 'cor': 0.9365}}, train: {'mrr': 0.9959, 'cor': 0.9369, 'loss': 0.2037}
