2022-11-29 00:04:38 - INFO - python 22_fuse.py --k 1000 --gid 2 --dataset aps --log aps_22fuse
2022-11-29 00:04:38 - INFO - Namespace(log='aps_22fuse', gid=2, dataset='aps', data_path='../preprocess/data/aps/', train_start=2000, train_end=2011, valid_start=2011, valid_end=2012, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=1000, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='sage', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=2), num_rels=4)
2022-11-29 00:04:40 - INFO - all_g: Data(x=[359367, 128], edge_index=[2, 2843728], edge_attr=[2843728], num_nodes=359367, ts_infos=[12, 3], raw_nid=[359367], train_val_split=2570824)
2022-11-29 00:07:51 - INFO - epoch: 0, valid: {2011: {'mrr': 0.0787997767329216, 'hits@1,3,10': [0.024039775133132935, 0.06752991676330566, 0.1804075837135315], 'ndcg,@100': [0.2272894176287359, 0.18547686773465755], 'male': 0.6085, 'rmsle': 0.7424, 'cor': 0.515}}, train: {'mrr': 0.9049, 'cor': 0.3961, 'loss': 0.4799}
2022-11-29 00:10:48 - INFO - epoch: 1, valid: {2011: {'mrr': 0.08358220756053925, 'hits@1,3,10': [0.02343877963721752, 0.06791236251592636, 0.20084139704704285], 'ndcg,@100': [0.23678945965567588, 0.2050735965072595], 'male': 0.5822, 'rmsle': 0.7095, 'cor': 0.5277}}, train: {'mrr': 0.9855, 'cor': 0.5271, 'loss': 0.2842}
2022-11-29 00:15:13 - INFO - epoch: 2, valid: {2011: {'mrr': 0.12238404154777527, 'hits@1,3,10': [0.0405944362282753, 0.11407966166734695, 0.2948150634765625], 'ndcg,@100': [0.2767938133802279, 0.25345471394453145], 'male': 0.5727, 'rmsle': 0.7009, 'cor': 0.5348}}, train: {'mrr': 0.99, 'cor': 0.5346, 'loss': 0.2454}
2022-11-29 00:20:27 - INFO - epoch: 3, valid: {2011: {'mrr': 0.14112085103988647, 'hits@1,3,10': [0.051794786006212234, 0.13910287618637085, 0.33262306451797485], 'ndcg,@100': [0.29495056046264356, 0.27453522052852175], 'male': 0.5858, 'rmsle': 0.718, 'cor': 0.5386}}, train: {'mrr': 0.9927, 'cor': 0.5422, 'loss': 0.2223}
2022-11-29 00:25:10 - INFO - epoch: 4, valid: {2011: {'mrr': 0.15804392099380493, 'hits@1,3,10': [0.061574604362249374, 0.15975522994995117, 0.3680817484855652], 'ndcg,@100': [0.31093522780212773, 0.2922971444815004], 'male': 0.5843, 'rmsle': 0.7172, 'cor': 0.5417}}, train: {'mrr': 0.9937, 'cor': 0.5473, 'loss': 0.2112}
2022-11-29 00:29:03 - INFO - epoch: 5, valid: {2011: {'mrr': 0.15915115177631378, 'hits@1,3,10': [0.05988089367747307, 0.15959131717681885, 0.378244012594223], 'ndcg,@100': [0.31299090578534977, 0.2951268121552527], 'male': 0.5875, 'rmsle': 0.7249, 'cor': 0.5443}}, train: {'mrr': 0.9945, 'cor': 0.5517, 'loss': 0.201}
2022-11-29 00:33:12 - INFO - epoch: 6, valid: {2011: {'mrr': 0.16503466665744781, 'hits@1,3,10': [0.06518056988716125, 0.16674861311912537, 0.3893897235393524], 'ndcg,@100': [0.3180476560124197, 0.3002598466716447], 'male': 0.5872, 'rmsle': 0.7306, 'cor': 0.5481}}, train: {'mrr': 0.9948, 'cor': 0.5542, 'loss': 0.1934}
2022-11-29 00:37:41 - INFO - epoch: 7, valid: {2011: {'mrr': 0.17260196805000305, 'hits@1,3,10': [0.06583619862794876, 0.17991586029529572, 0.41665300726890564], 'ndcg,@100': [0.32612710996773325, 0.30995917490106045], 'male': 0.5818, 'rmsle': 0.7275, 'cor': 0.5498}}, train: {'mrr': 0.9954, 'cor': 0.5582, 'loss': 0.1863}
2022-11-29 00:43:19 - INFO - epoch: 8, valid: {2011: {'mrr': 0.19616109132766724, 'hits@1,3,10': [0.08271867781877518, 0.21040266752243042, 0.4524941146373749], 'ndcg,@100': [0.3469588041810472, 0.3314863005633844], 'male': 0.5788, 'rmsle': 0.7219, 'cor': 0.5504}}, train: {'mrr': 0.9959, 'cor': 0.5607, 'loss': 0.1781}
2022-11-29 00:48:37 - INFO - epoch: 9, valid: {2011: {'mrr': 0.2233673632144928, 'hits@1,3,10': [0.10326176136732101, 0.24597060680389404, 0.49046605825424194], 'ndcg,@100': [0.3708706609211667, 0.35655246508750427], 'male': 0.5662, 'rmsle': 0.7023, 'cor': 0.5516}}, train: {'mrr': 0.9965, 'cor': 0.5641, 'loss': 0.1703}
2022-11-29 00:53:38 - INFO - epoch: 10, valid: {2011: {'mrr': 0.22808358073234558, 'hits@1,3,10': [0.10451838374137878, 0.25230836868286133, 0.5035786628723145], 'ndcg,@100': [0.3754241578521672, 0.3612965331932943], 'male': 0.5659, 'rmsle': 0.6994, 'cor': 0.5508}}, train: {'mrr': 0.9969, 'cor': 0.5664, 'loss': 0.1644}
