2022-11-29 00:10:01 - INFO - python 21_mbsl.py --dataset bco --k 100 --train_start 0 --train_end 11 --valid_start 11 --valid_end 12 --gid 0 --two_fuse 1 --log bco_2fuse
2022-11-29 00:10:01 - INFO - Namespace(log='bco_2fuse', gid=0, dataset='bco', data_path='../preprocess/data/bco/', train_start=0, train_end=11, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', two_fuse=1, device=device(type='cuda', index=0), num_rels=4)
2022-11-29 00:10:02 - INFO - all_g: Data(x=[5137, 128], edge_index=[2, 29251], edge_attr=[29251], num_nodes=5137, ts_infos=[12, 3], raw_nid=[5137], train_val_split=27751)
2022-11-29 00:10:11 - INFO - epoch: 0, valid: {11: {'mrr': 0.035806529223918915, 'hits@1,3,10': [0.0, 0.0044843051582574844, 0.07174888253211975], 'ndcg,@100': [0.1967855890160868, 0.1967855890160868], 'male': 0.5319, 'rmsle': 0.7842, 'cor': 0.0914}}, train: {'mrr': 0.7739, 'cor': 0.1207, 'loss': 1.3836}
2022-11-29 00:10:12 - INFO - epoch: 1, valid: {11: {'mrr': 0.03991034999489784, 'hits@1,3,10': [0.0, 0.008968610316514969, 0.08520179241895676], 'ndcg,@100': [0.20198771979405555, 0.20198771979405555], 'male': 0.582, 'rmsle': 0.759, 'cor': 0.1262}}, train: {'mrr': 0.8669, 'cor': 0.1073, 'loss': 1.3567}
2022-11-29 00:10:13 - INFO - epoch: 2, valid: {11: {'mrr': 0.034057483077049255, 'hits@1,3,10': [0.0, 0.0044843051582574844, 0.05829596519470215], 'ndcg,@100': [0.19435760756881781, 0.19435760756881781], 'male': 0.6817, 'rmsle': 0.7837, 'cor': 0.1309}}, train: {'mrr': 0.8688, 'cor': 0.1095, 'loss': 1.3326}
2022-11-29 00:10:14 - INFO - epoch: 3, valid: {11: {'mrr': 0.032445795834064484, 'hits@1,3,10': [0.0, 0.0, 0.04932735487818718], 'ndcg,@100': [0.19225275562798422, 0.19225275562798422], 'male': 0.6893, 'rmsle': 0.7888, 'cor': 0.1214}}, train: {'mrr': 0.867, 'cor': 0.13, 'loss': 1.3016}
2022-11-29 00:10:15 - INFO - epoch: 4, valid: {11: {'mrr': 0.03364533185958862, 'hits@1,3,10': [0.0, 0.0044843051582574844, 0.04035874456167221], 'ndcg,@100': [0.1953550857450735, 0.1953550857450735], 'male': 0.6732, 'rmsle': 0.78, 'cor': 0.1111}}, train: {'mrr': 0.8679, 'cor': 0.137, 'loss': 1.2603}
2022-11-29 00:10:15 - INFO - epoch: 5, valid: {11: {'mrr': 0.02847486361861229, 'hits@1,3,10': [0.0, 0.0044843051582574844, 0.026905829086899757], 'ndcg,@100': [0.18689845023976379, 0.18622638503065192], 'male': 0.665, 'rmsle': 0.7755, 'cor': 0.1178}}, train: {'mrr': 0.8709, 'cor': 0.151, 'loss': 1.234}
2022-11-29 00:10:16 - INFO - epoch: 6, valid: {11: {'mrr': 0.05074520781636238, 'hits@1,3,10': [0.0044843051582574844, 0.035874441266059875, 0.08071748912334442], 'ndcg,@100': [0.21246561929561802, 0.21246561929561802], 'male': 0.6695, 'rmsle': 0.7785, 'cor': 0.1094}}, train: {'mrr': 0.8657, 'cor': 0.1422, 'loss': 1.1979}
2022-11-29 00:10:18 - INFO - epoch: 7, valid: {11: {'mrr': 0.03914394974708557, 'hits@1,3,10': [0.0, 0.008968610316514969, 0.07623318582773209], 'ndcg,@100': [0.20249539564661218, 0.20182333043750028], 'male': 0.6714, 'rmsle': 0.778, 'cor': 0.1521}}, train: {'mrr': 0.8685, 'cor': 0.1529, 'loss': 1.185}
2022-11-29 00:10:19 - INFO - epoch: 8, valid: {11: {'mrr': 0.027583716437220573, 'hits@1,3,10': [0.0, 0.0, 0.053811658173799515], 'ndcg,@100': [0.18402392026258568, 0.18402392026258568], 'male': 0.6497, 'rmsle': 0.7689, 'cor': 0.1291}}, train: {'mrr': 0.8722, 'cor': 0.1548, 'loss': 1.1969}
2022-11-29 00:10:20 - INFO - epoch: 9, valid: {11: {'mrr': 0.02914540097117424, 'hits@1,3,10': [0.0, 0.0, 0.03139013424515724], 'ndcg,@100': [0.1885454146512776, 0.18787334944216572], 'male': 0.6609, 'rmsle': 0.7744, 'cor': 0.1105}}, train: {'mrr': 0.8669, 'cor': 0.1587, 'loss': 1.2028}
2022-11-29 00:10:21 - INFO - epoch: 10, valid: {11: {'mrr': 0.06760913133621216, 'hits@1,3,10': [0.013452914543449879, 0.04932735487818718, 0.1434977650642395], 'ndcg,@100': [0.22795737713249822, 0.22795737713249822], 'male': 0.6707, 'rmsle': 0.7776, 'cor': 0.1295}}, train: {'mrr': 0.8706, 'cor': 0.163, 'loss': 1.2001}
