2022-11-29 00:11:24 - INFO - python 21_mbsl.py --k 1000 --gid 0 --dataset aps --two_fuse 1 --log aps_2fuse
2022-11-29 00:11:24 - INFO - Namespace(log='aps_2fuse', gid=0, dataset='aps', data_path='../preprocess/data/aps/', train_start=2000, train_end=2011, valid_start=2011, valid_end=2012, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=1000, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', two_fuse=1, device=device(type='cuda', index=0), num_rels=4)
2022-11-29 00:11:26 - INFO - all_g: Data(x=[359367, 128], edge_index=[2, 2843728], edge_attr=[2843728], num_nodes=359367, ts_infos=[12, 3], raw_nid=[359367], train_val_split=2570824)
2022-11-29 00:16:34 - INFO - epoch: 0, valid: {2011: {'mrr': 0.08383487910032272, 'hits@1,3,10': [0.025351034477353096, 0.07129978388547897, 0.1958695352077484], 'ndcg,@100': [0.2342936677283131, 0.19664840602868397], 'male': 0.544, 'rmsle': 0.723, 'cor': 0.5007}}, train: {'mrr': 0.9142, 'cor': 0.5716, 'loss': 0.7476}
2022-11-29 00:22:16 - INFO - epoch: 1, valid: {2011: {'mrr': 0.10895620286464691, 'hits@1,3,10': [0.036660656332969666, 0.09894552826881409, 0.2561328709125519], 'ndcg,@100': [0.261792451308349, 0.23378026435184218], 'male': 0.5272, 'rmsle': 0.7003, 'cor': 0.4896}}, train: {'mrr': 0.9872, 'cor': 0.7118, 'loss': 0.3721}
2022-11-29 00:27:08 - INFO - epoch: 2, valid: {2011: {'mrr': 0.1372963786125183, 'hits@1,3,10': [0.051029887050390244, 0.13183631002902985, 0.3266131281852722], 'ndcg,@100': [0.29046633898533686, 0.26791940858417745], 'male': 0.5223, 'rmsle': 0.6944, 'cor': 0.486}}, train: {'mrr': 0.9907, 'cor': 0.7696, 'loss': 0.3123}
2022-11-29 00:30:59 - INFO - epoch: 3, valid: {2011: {'mrr': 0.16218046844005585, 'hits@1,3,10': [0.06354149430990219, 0.16713106632232666, 0.3765502870082855], 'ndcg,@100': [0.314294059633341, 0.2950601985658715], 'male': 0.5243, 'rmsle': 0.6974, 'cor': 0.4903}}, train: {'mrr': 0.9936, 'cor': 0.7875, 'loss': 0.2622}
2022-11-29 00:34:35 - INFO - epoch: 4, valid: {2011: {'mrr': 0.17360739409923553, 'hits@1,3,10': [0.06911434978246689, 0.18264766037464142, 0.40654537081718445], 'ndcg,@100': [0.32531569353395934, 0.30710549759678957], 'male': 0.5173, 'rmsle': 0.6887, 'cor': 0.4974}}, train: {'mrr': 0.9948, 'cor': 0.8113, 'loss': 0.2389}
2022-11-29 00:38:37 - INFO - epoch: 5, valid: {2011: {'mrr': 0.21286550164222717, 'hits@1,3,10': [0.09850843995809555, 0.23154674470424652, 0.46675407886505127], 'ndcg,@100': [0.36002983303018665, 0.34401528527504166], 'male': 0.5155, 'rmsle': 0.6801, 'cor': 0.5072}}, train: {'mrr': 0.9954, 'cor': 0.8203, 'loss': 0.2216}
2022-11-29 00:43:24 - INFO - epoch: 6, valid: {2011: {'mrr': 0.22635020315647125, 'hits@1,3,10': [0.10883461683988571, 0.24984975159168243, 0.48789817094802856], 'ndcg,@100': [0.37185821077430026, 0.35586414508564995], 'male': 0.5159, 'rmsle': 0.6861, 'cor': 0.5051}}, train: {'mrr': 0.9959, 'cor': 0.8268, 'loss': 0.2079}
2022-11-29 00:48:14 - INFO - epoch: 7, valid: {2011: {'mrr': 0.24406258761882782, 'hits@1,3,10': [0.12369556725025177, 0.2710484564304352, 0.510517418384552], 'ndcg,@100': [0.3870487135491309, 0.37178738436106096], 'male': 0.5174, 'rmsle': 0.6901, 'cor': 0.5034}}, train: {'mrr': 0.9965, 'cor': 0.8322, 'loss': 0.1929}
2022-11-29 00:52:28 - INFO - epoch: 8, valid: {2011: {'mrr': 0.2706475853919983, 'hits@1,3,10': [0.14653335511684418, 0.3047041594982147, 0.5413866639137268], 'ndcg,@100': [0.40993288469668, 0.3952697719103055], 'male': 0.5166, 'rmsle': 0.6912, 'cor': 0.5081}}, train: {'mrr': 0.9969, 'cor': 0.8371, 'loss': 0.1817}
2022-11-29 00:56:02 - INFO - epoch: 9, valid: {2011: {'mrr': 0.25981923937797546, 'hits@1,3,10': [0.13467738032341003, 0.2945418655872345, 0.5372889637947083], 'ndcg,@100': [0.40123698118952517, 0.3866022956472404], 'male': 0.5176, 'rmsle': 0.6911, 'cor': 0.5185}}, train: {'mrr': 0.9972, 'cor': 0.8411, 'loss': 0.1714}
2022-11-29 00:59:40 - INFO - epoch: 10, valid: {2011: {'mrr': 0.26047396659851074, 'hits@1,3,10': [0.12790252268314362, 0.3004971742630005, 0.5506201386451721], 'ndcg,@100': [0.40319480809409375, 0.3895654579970009], 'male': 0.5144, 'rmsle': 0.6879, 'cor': 0.5243}}, train: {'mrr': 0.9975, 'cor': 0.8457, 'loss': 0.1634}
2022-11-29 01:03:13 - INFO - epoch: 11, valid: {2011: {'mrr': 0.2731252610683441, 'hits@1,3,10': [0.14014096558094025, 0.31694257259368896, 0.5623121857643127], 'ndcg,@100': [0.4132625818310978, 0.39871978133465], 'male': 0.5142, 'rmsle': 0.6889, 'cor': 0.5203}}, train: {'mrr': 0.9976, 'cor': 0.8505, 'loss': 0.1565}
2022-11-29 01:07:23 - INFO - epoch: 12, valid: {2011: {'mrr': 0.2691021263599396, 'hits@1,3,10': [0.13396711647510529, 0.3137190639972687, 0.5690323710441589], 'ndcg,@100': [0.41070793887934237, 0.39640996340815143], 'male': 0.512, 'rmsle': 0.6833, 'cor': 0.5237}}, train: {'mrr': 0.9978, 'cor': 0.8552, 'loss': 0.1507}
2022-11-29 01:11:41 - INFO - epoch: 13, valid: {2011: {'mrr': 0.2793079614639282, 'hits@1,3,10': [0.14079658687114716, 0.3274872899055481, 0.58099764585495], 'ndcg,@100': [0.4196755618787804, 0.40629539417273797], 'male': 0.5123, 'rmsle': 0.6824, 'cor': 0.5232}}, train: {'mrr': 0.998, 'cor': 0.8583, 'loss': 0.1461}
2022-11-29 01:16:44 - INFO - epoch: 14, valid: {2011: {'mrr': 0.28483760356903076, 'hits@1,3,10': [0.14778998494148254, 0.3326776921749115, 0.5817078948020935], 'ndcg,@100': [0.4237875573708385, 0.4098150770675959], 'male': 0.514, 'rmsle': 0.6832, 'cor': 0.5228}}, train: {'mrr': 0.998, 'cor': 0.8583, 'loss': 0.1422}
2022-11-29 01:21:48 - INFO - epoch: 15, valid: {2011: {'mrr': 0.3103146553039551, 'hits@1,3,10': [0.1721029281616211, 0.366770476102829, 0.6000109314918518], 'ndcg,@100': [0.4447194832353598, 0.43150957209274426], 'male': 0.5137, 'rmsle': 0.6879, 'cor': 0.5241}}, train: {'mrr': 0.9982, 'cor': 0.8594, 'loss': 0.1362}
2022-11-29 01:25:53 - INFO - epoch: 16, valid: {2011: {'mrr': 0.31352436542510986, 'hits@1,3,10': [0.17478008568286896, 0.37021252512931824, 0.6086434125900269], 'ndcg,@100': [0.44729653714667633, 0.43325946432839524], 'male': 0.5139, 'rmsle': 0.6811, 'cor': 0.5214}}, train: {'mrr': 0.9982, 'cor': 0.8594, 'loss': 0.1328}
2022-11-29 01:29:47 - INFO - epoch: 17, valid: {2011: {'mrr': 0.32319968938827515, 'hits@1,3,10': [0.18253837525844574, 0.38190460205078125, 0.6196252107620239], 'ndcg,@100': [0.45551982830952165, 0.44190489233135893], 'male': 0.5174, 'rmsle': 0.6889, 'cor': 0.5174}}, train: {'mrr': 0.9984, 'cor': 0.8616, 'loss': 0.1296}
2022-11-29 01:34:28 - INFO - epoch: 18, valid: {2011: {'mrr': 0.3190830945968628, 'hits@1,3,10': [0.1797519475221634, 0.37474730610847473, 0.6164016723632812], 'ndcg,@100': [0.4519717936856136, 0.43798641150446194], 'male': 0.5168, 'rmsle': 0.6872, 'cor': 0.5209}}, train: {'mrr': 0.9984, 'cor': 0.862, 'loss': 0.1252}
2022-11-29 01:38:39 - INFO - epoch: 19, valid: {2011: {'mrr': 0.31986695528030396, 'hits@1,3,10': [0.17805823683738708, 0.3792274594306946, 0.6233950853347778], 'ndcg,@100': [0.45285430823006145, 0.4388871846139175], 'male': 0.5161, 'rmsle': 0.6874, 'cor': 0.5192}}, train: {'mrr': 0.9985, 'cor': 0.8622, 'loss': 0.1218}
2022-11-29 01:47:21 - INFO - epoch: 20, valid: {2011: {'mrr': 0.3326495289802551, 'hits@1,3,10': [0.19302846491336823, 0.3886794447898865, 0.6321914196014404], 'ndcg,@100': [0.46329179178410046, 0.44985392634000093], 'male': 0.5136, 'rmsle': 0.6823, 'cor': 0.5215}}, train: {'mrr': 0.9986, 'cor': 0.8629, 'loss': 0.1194}
2022-11-29 01:55:39 - INFO - epoch: 21, valid: {2011: {'mrr': 0.3431597054004669, 'hits@1,3,10': [0.20177020132541656, 0.40627220273017883, 0.6380375027656555], 'ndcg,@100': [0.4717396377270115, 0.45787643605751754], 'male': 0.5104, 'rmsle': 0.6794, 'cor': 0.5197}}, train: {'mrr': 0.9986, 'cor': 0.8634, 'loss': 0.1172}
2022-11-29 02:02:34 - INFO - epoch: 22, valid: {2011: {'mrr': 0.34492260217666626, 'hits@1,3,10': [0.20357318222522736, 0.40720099210739136, 0.6409878134727478], 'ndcg,@100': [0.47326724003789505, 0.4595877911033339], 'male': 0.5173, 'rmsle': 0.6911, 'cor': 0.5202}}, train: {'mrr': 0.9987, 'cor': 0.8644, 'loss': 0.1136}
