2022-11-29 13:33:09 - INFO - python 22_fuse.py --dataset bca --k 100 --train_start 0 --train_end 11 --valid_start 11 --valid_end 12 --gid 0 --log bca_22fuse_gcn --edge_gnn gcn
2022-11-29 13:33:09 - INFO - Namespace(log='bca_22fuse_gcn', gid=0, dataset='bca', data_path='../preprocess/data/bca/', train_start=0, train_end=11, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='gcn', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=0), num_rels=4)
2022-11-29 13:33:09 - INFO - all_g: Data(x=[3406, 128], edge_index=[2, 20479], edge_attr=[20479], num_nodes=3406, ts_infos=[12, 3], raw_nid=[3406], train_val_split=19775)
2022-11-29 13:33:19 - INFO - epoch: 0, valid: {11: {'mrr': 0.07294239103794098, 'hits@1,3,10': [0.0, 0.033898305147886276, 0.2118644118309021], 'ndcg,@100': [0.24594175609435465, 0.24594175609435465], 'male': 0.5556, 'rmsle': 0.9765, 'cor': -0.1711}}, train: {'mrr': 0.8441, 'cor': -0.1278, 'loss': 2.532}
2022-11-29 13:33:20 - INFO - epoch: 1, valid: {11: {'mrr': 0.06989315152168274, 'hits@1,3,10': [0.016949152573943138, 0.025423727929592133, 0.11016949266195297], 'ndcg,@100': [0.23762922296243358, 0.2363591336265696], 'male': 0.5556, 'rmsle': 0.9765, 'cor': -0.142}}, train: {'mrr': 0.8767, 'cor': -0.1264, 'loss': 2.381}
2022-11-29 13:33:21 - INFO - epoch: 2, valid: {11: {'mrr': 0.08196764439344406, 'hits@1,3,10': [0.016949152573943138, 0.04237288236618042, 0.20338982343673706], 'ndcg,@100': [0.2501576276344003, 0.24888753829853635], 'male': 0.5556, 'rmsle': 0.9765, 'cor': -0.1452}}, train: {'mrr': 0.8714, 'cor': -0.1276, 'loss': 2.2243}
2022-11-29 13:33:22 - INFO - epoch: 3, valid: {11: {'mrr': 0.08282679319381714, 'hits@1,3,10': [0.0, 0.05932203307747841, 0.26271185278892517], 'ndcg,@100': [0.25527238771797883, 0.25527238771797883], 'male': 0.5556, 'rmsle': 0.9765, 'cor': -0.1484}}, train: {'mrr': 0.8784, 'cor': -0.1217, 'loss': 2.043}
2022-11-29 13:33:23 - INFO - epoch: 4, valid: {11: {'mrr': 0.06970728188753128, 'hits@1,3,10': [0.0, 0.008474576286971569, 0.27966102957725525], 'ndcg,@100': [0.23962825059130416, 0.23962825059130416], 'male': 0.5522, 'rmsle': 0.9263, 'cor': 0.1722}}, train: {'mrr': 0.8798, 'cor': -0.081, 'loss': 1.7631}
2022-11-29 13:33:24 - INFO - epoch: 5, valid: {11: {'mrr': 0.09556826949119568, 'hits@1,3,10': [0.008474576286971569, 0.06779661029577255, 0.35593220591545105], 'ndcg,@100': [0.2637423820127919, 0.2637423820127919], 'male': 0.796, 'rmsle': 0.8777, 'cor': 0.1727}}, train: {'mrr': 0.8622, 'cor': 0.0947, 'loss': 1.2097}
2022-11-29 13:33:25 - INFO - epoch: 6, valid: {11: {'mrr': 0.11347347497940063, 'hits@1,3,10': [0.0, 0.10169491171836853, 0.4661017060279846], 'ndcg,@100': [0.28352421697312624, 0.28352421697312624], 'male': 0.846, 'rmsle': 0.9316, 'cor': 0.1708}}, train: {'mrr': 0.8641, 'cor': 0.148, 'loss': 1.1972}
2022-11-29 13:33:25 - INFO - epoch: 7, valid: {11: {'mrr': 0.08215408772230148, 'hits@1,3,10': [0.025423727929592133, 0.0762711837887764, 0.12711864709854126], 'ndcg,@100': [0.24344505164305674, 0.2421749623071928], 'male': 0.5997, 'rmsle': 0.7794, 'cor': 0.1721}}, train: {'mrr': 0.8667, 'cor': 0.1473, 'loss': 1.0736}
2022-11-29 13:33:26 - INFO - epoch: 8, valid: {11: {'mrr': 0.16733913123607635, 'hits@1,3,10': [0.05932203307747841, 0.17796610295772552, 0.31355932354927063], 'ndcg,@100': [0.32776753620290994, 0.32649744686704596], 'male': 0.6032, 'rmsle': 0.7772, 'cor': 0.1702}}, train: {'mrr': 0.8807, 'cor': 0.1492, 'loss': 1.0521}
2022-11-29 13:33:27 - INFO - epoch: 9, valid: {11: {'mrr': 0.13360001146793365, 'hits@1,3,10': [0.05932203307747841, 0.09322033822536469, 0.2711864411830902], 'ndcg,@100': [0.29620257253468746, 0.2949324831988235], 'male': 0.7023, 'rmsle': 0.8025, 'cor': 0.1707}}, train: {'mrr': 0.8845, 'cor': 0.1441, 'loss': 1.0372}
2022-11-29 13:33:28 - INFO - epoch: 10, valid: {11: {'mrr': 0.1658153384923935, 'hits@1,3,10': [0.050847455859184265, 0.16949152946472168, 0.3644067943096161], 'ndcg,@100': [0.3288515852009302, 0.32758149586506624], 'male': 0.7089, 'rmsle': 0.8066, 'cor': 0.1702}}, train: {'mrr': 0.8916, 'cor': 0.15, 'loss': 1.0258}
