2022-11-29 14:41:06 - INFO - python 22_fuse.py --dataset rdt --k 100 --train_start 0 --train_end 10 --valid_start 11 --valid_end 12 --log rdt_22fuse_gcn --gid 2 --embed_dim 300 --edge_gnn gcn
2022-11-29 14:41:06 - INFO - Namespace(log='rdt_22fuse_gcn', gid=2, dataset='rdt', data_path='../preprocess/data/rdt/', train_start=0, train_end=10, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=300, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='gcn', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=2), num_rels=4)
2022-11-29 14:41:08 - INFO - all_g: Data(x=[37464, 300], edge_index=[2, 291689], edge_attr=[291689], num_nodes=37464, ts_infos=[11, 3], raw_nid=[37464], train_val_split=285964)
2022-11-29 14:41:20 - INFO - epoch: 0, valid: {11: {'mrr': 0.6588059663772583, 'hits@1,3,10': [0.5313630700111389, 0.7472859025001526, 0.8866103887557983], 'ndcg,@100': [0.7349118410961198, 0.7349118410961198], 'male': 1.7307, 'rmsle': 2.2944, 'cor': 0.4374}}, train: {'mrr': 0.9263, 'cor': 0.2763, 'loss': 1.0548}
2022-11-29 14:41:26 - INFO - epoch: 1, valid: {11: {'mrr': 0.6750414371490479, 'hits@1,3,10': [0.5530759692192078, 0.7593486309051514, 0.8986731171607971], 'ndcg,@100': [0.7478360755668297, 0.7478360755668297], 'male': 1.6954, 'rmsle': 2.2564, 'cor': 0.4998}}, train: {'mrr': 0.9748, 'cor': 0.48, 'loss': 0.7598}
2022-11-29 14:41:32 - INFO - epoch: 2, valid: {11: {'mrr': 0.6893185377120972, 'hits@1,3,10': [0.5693606734275818, 0.7780458331108093, 0.9071170091629028], 'ndcg,@100': [0.7589540082151616, 0.7586828311193258], 'male': 1.6565, 'rmsle': 2.2165, 'cor': 0.5382}}, train: {'mrr': 0.9812, 'cor': 0.5512, 'loss': 0.6713}
2022-11-29 14:41:39 - INFO - epoch: 3, valid: {11: {'mrr': 0.7009780406951904, 'hits@1,3,10': [0.5826296806335449, 0.7870928645133972, 0.9185765981674194], 'ndcg,@100': [0.7681851326652488, 0.7679139555694129], 'male': 1.5887, 'rmsle': 2.1704, 'cor': 0.7648}}, train: {'mrr': 0.9835, 'cor': 0.6236, 'loss': 0.6268}
2022-11-29 14:41:45 - INFO - epoch: 4, valid: {11: {'mrr': 0.7133240699768066, 'hits@1,3,10': [0.5983112454414368, 0.8027744293212891, 0.924004852771759], 'ndcg,@100': [0.7778908316975182, 0.7777100469669608], 'male': 1.5523, 'rmsle': 2.1244, 'cor': 0.7261}}, train: {'mrr': 0.9861, 'cor': 0.7033, 'loss': 0.5799}
2022-11-29 14:41:51 - INFO - epoch: 5, valid: {11: {'mrr': 0.7244338989257812, 'hits@1,3,10': [0.610977053642273, 0.8130277395248413, 0.9221954345703125], 'ndcg,@100': [0.7868782062128042, 0.7867878138475256], 'male': 1.5157, 'rmsle': 2.0788, 'cor': 0.7121}}, train: {'mrr': 0.9891, 'cor': 0.7454, 'loss': 0.5378}
2022-11-29 14:41:57 - INFO - epoch: 6, valid: {11: {'mrr': 0.7268826365470886, 'hits@1,3,10': [0.6079614162445068, 0.8208684921264648, 0.9276236295700073], 'ndcg,@100': [0.7889786337480738, 0.7888882413827952], 'male': 1.4745, 'rmsle': 2.0315, 'cor': 0.7249}}, train: {'mrr': 0.9906, 'cor': 0.7625, 'loss': 0.5015}
2022-11-29 14:42:03 - INFO - epoch: 7, valid: {11: {'mrr': 0.7337146401405334, 'hits@1,3,10': [0.6188178658485413, 0.8293124437332153, 0.9336550235748291], 'ndcg,@100': [0.7941638932129175, 0.7939831084823603], 'male': 1.4382, 'rmsle': 1.9853, 'cor': 0.7243}}, train: {'mrr': 0.9917, 'cor': 0.7705, 'loss': 0.4725}
2022-11-29 14:42:08 - INFO - epoch: 8, valid: {11: {'mrr': 0.7422619462013245, 'hits@1,3,10': [0.6296743154525757, 0.8329312205314636, 0.9354644417762756], 'ndcg,@100': [0.8008564604356386, 0.80076606807036], 'male': 1.3949, 'rmsle': 1.937, 'cor': 0.744}}, train: {'mrr': 0.9929, 'cor': 0.7815, 'loss': 0.4445}
2022-11-29 14:42:15 - INFO - epoch: 9, valid: {11: {'mrr': 0.741204559803009, 'hits@1,3,10': [0.6260554790496826, 0.8311218619346619, 0.9378769397735596], 'ndcg,@100': [0.8004015333485622, 0.8003111409832836], 'male': 1.3596, 'rmsle': 1.8912, 'cor': 0.7414}}, train: {'mrr': 0.9935, 'cor': 0.7897, 'loss': 0.4233}
2022-11-29 14:42:22 - INFO - epoch: 10, valid: {11: {'mrr': 0.7501592040061951, 'hits@1,3,10': [0.6405307650566101, 0.8365500569343567, 0.9372738003730774], 'ndcg,@100': [0.806936495697993, 0.8068461033327143], 'male': 1.3172, 'rmsle': 1.8442, 'cor': 0.754}}, train: {'mrr': 0.9934, 'cor': 0.7959, 'loss': 0.4034}
2022-11-29 14:42:28 - INFO - epoch: 11, valid: {11: {'mrr': 0.7473829388618469, 'hits@1,3,10': [0.6344993710517883, 0.843787670135498, 0.9384800791740417], 'ndcg,@100': [0.804966481371941, 0.8048760890066624], 'male': 1.2774, 'rmsle': 1.7992, 'cor': 0.76}}, train: {'mrr': 0.9942, 'cor': 0.8018, 'loss': 0.3853}
2022-11-29 14:42:34 - INFO - epoch: 12, valid: {11: {'mrr': 0.7492846846580505, 'hits@1,3,10': [0.6363087892532349, 0.8462002277374268, 0.9384800791740417], 'ndcg,@100': [0.806489342763686, 0.8063989503984074], 'male': 1.2436, 'rmsle': 1.756, 'cor': 0.7517}}, train: {'mrr': 0.9946, 'cor': 0.8069, 'loss': 0.3687}
2022-11-29 14:42:41 - INFO - epoch: 13, valid: {11: {'mrr': 0.7526366710662842, 'hits@1,3,10': [0.6405307650566101, 0.843787670135498, 0.9402894973754883], 'ndcg,@100': [0.8091071622691651, 0.8090167699038866], 'male': 1.2099, 'rmsle': 1.714, 'cor': 0.7503}}, train: {'mrr': 0.9947, 'cor': 0.8127, 'loss': 0.353}
2022-11-29 14:42:48 - INFO - epoch: 14, valid: {11: {'mrr': 0.7540037035942078, 'hits@1,3,10': [0.6423401832580566, 0.8510253429412842, 0.936067521572113], 'ndcg,@100': [0.8103798934838086, 0.8102895011185299], 'male': 1.1719, 'rmsle': 1.6708, 'cor': 0.7931}}, train: {'mrr': 0.9951, 'cor': 0.8205, 'loss': 0.3395}
2022-11-29 14:42:56 - INFO - epoch: 15, valid: {11: {'mrr': 0.7666980028152466, 'hits@1,3,10': [0.6628468036651611, 0.8474065065383911, 0.9384800791740417], 'ndcg,@100': [0.8197171130063801, 0.8196267206411013], 'male': 1.1405, 'rmsle': 1.6305, 'cor': 0.8022}}, train: {'mrr': 0.9948, 'cor': 0.8357, 'loss': 0.3267}
2022-11-29 14:43:03 - INFO - epoch: 16, valid: {11: {'mrr': 0.7647852897644043, 'hits@1,3,10': [0.6610373854637146, 0.8480096459388733, 0.9378769397735596], 'ndcg,@100': [0.8182748660995562, 0.8181844737342776], 'male': 1.1054, 'rmsle': 1.591, 'cor': 0.8092}}, train: {'mrr': 0.9951, 'cor': 0.8406, 'loss': 0.3148}
2022-11-29 14:43:09 - INFO - epoch: 17, valid: {11: {'mrr': 0.7663869261741638, 'hits@1,3,10': [0.6634499430656433, 0.8492159247398376, 0.9384800791740417], 'ndcg,@100': [0.8194787514334139, 0.8193883590681353], 'male': 1.0695, 'rmsle': 1.5522, 'cor': 0.8214}}, train: {'mrr': 0.9954, 'cor': 0.8466, 'loss': 0.3031}
2022-11-29 14:43:15 - INFO - epoch: 18, valid: {11: {'mrr': 0.7680772542953491, 'hits@1,3,10': [0.6610373854637146, 0.8558503985404968, 0.9396863579750061], 'ndcg,@100': [0.8209635235937117, 0.8208731312284332], 'male': 1.0371, 'rmsle': 1.5152, 'cor': 0.8178}}, train: {'mrr': 0.9954, 'cor': 0.851, 'loss': 0.2946}
2022-11-29 14:43:22 - INFO - epoch: 19, valid: {11: {'mrr': 0.7736285328865051, 'hits@1,3,10': [0.6731001138687134, 0.8540410399436951, 0.9384800791740417], 'ndcg,@100': [0.8249844315586151, 0.8249844315586151], 'male': 1.0061, 'rmsle': 1.4799, 'cor': 0.8274}}, train: {'mrr': 0.9956, 'cor': 0.8558, 'loss': 0.2848}
2022-11-29 14:43:29 - INFO - epoch: 20, valid: {11: {'mrr': 0.7722508907318115, 'hits@1,3,10': [0.6712906956672668, 0.8486127853393555, 0.9396863579750061], 'ndcg,@100': [0.8239292741479617, 0.8238388817826832], 'male': 0.9811, 'rmsle': 1.4465, 'cor': 0.8295}}, train: {'mrr': 0.9955, 'cor': 0.859, 'loss': 0.2755}
2022-11-29 14:43:36 - INFO - epoch: 21, valid: {11: {'mrr': 0.7750528454780579, 'hits@1,3,10': [0.6755126714706421, 0.8576598167419434, 0.9378769397735596], 'ndcg,@100': [0.8259869611361011, 0.8258061764055439], 'male': 0.9523, 'rmsle': 1.4157, 'cor': 0.8269}}, train: {'mrr': 0.9957, 'cor': 0.8681, 'loss': 0.2672}
2022-11-29 14:43:44 - INFO - epoch: 22, valid: {11: {'mrr': 0.7732114791870117, 'hits@1,3,10': [0.6706875562667847, 0.8570566773414612, 0.9402894973754883], 'ndcg,@100': [0.8249436244554009, 0.8248532320901223], 'male': 0.9258, 'rmsle': 1.3836, 'cor': 0.8373}}, train: {'mrr': 0.9961, 'cor': 0.8705, 'loss': 0.2593}
2022-11-29 14:43:51 - INFO - epoch: 23, valid: {11: {'mrr': 0.7758946418762207, 'hits@1,3,10': [0.6761158108711243, 0.8546441793441772, 0.9390832185745239], 'ndcg,@100': [0.8264278743232357, 0.8263374819579572], 'male': 0.9001, 'rmsle': 1.3548, 'cor': 0.8402}}, train: {'mrr': 0.996, 'cor': 0.8739, 'loss': 0.2516}
