2022-11-30 00:42:15 - INFO - python 22_fuse.py --k 1000 --dataset aps --log aps_22fuse_gcn --edge_gnn gcn
2022-11-30 00:42:15 - INFO - Namespace(log='aps_22fuse_gcn', gid=1, dataset='aps', data_path='../preprocess/data/aps/', train_start=2000, train_end=2011, valid_start=2011, valid_end=2012, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=1000, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='gcn', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=1), num_rels=4)
2022-11-30 00:42:19 - INFO - all_g: Data(x=[359367, 128], edge_index=[2, 2843728], edge_attr=[2843728], num_nodes=359367, ts_infos=[12, 3], raw_nid=[359367], train_val_split=2570824)
2022-11-30 01:01:15 - INFO - epoch: 0, valid: {2011: {'mrr': 0.05889986455440521, 'hits@1,3,10': [0.017811287194490433, 0.045784842222929, 0.12216576188802719], 'ndcg,@100': [0.2043276661192833, 0.15351922609314544], 'male': 0.6064, 'rmsle': 0.7435, 'cor': 0.5291}}, train: {'mrr': 0.9002, 'cor': 0.2078, 'loss': 0.5646}
2022-11-30 01:17:28 - INFO - epoch: 1, valid: {2011: {'mrr': 0.13391637802124023, 'hits@1,3,10': [0.05436267331242561, 0.13260121643543243, 0.2963995039463043], 'ndcg,@100': [0.28433674981622886, 0.2581873629679921], 'male': 0.5992, 'rmsle': 0.7369, 'cor': 0.5356}}, train: {'mrr': 0.986, 'cor': 0.5336, 'loss': 0.2713}
2022-11-30 01:31:47 - INFO - epoch: 2, valid: {2011: {'mrr': 0.15589390695095062, 'hits@1,3,10': [0.06807627528905869, 0.15527509152889252, 0.3442605137825012], 'ndcg,@100': [0.30582052997763787, 0.2835379170456937], 'male': 0.5977, 'rmsle': 0.7364, 'cor': 0.5388}}, train: {'mrr': 0.9918, 'cor': 0.5407, 'loss': 0.2312}
2022-11-30 01:49:19 - INFO - epoch: 3, valid: {2011: {'mrr': 0.1451108455657959, 'hits@1,3,10': [0.0575861893594265, 0.1417800337076187, 0.3319128155708313], 'ndcg,@100': [0.2972493945417842, 0.275811002154089], 'male': 0.5965, 'rmsle': 0.7369, 'cor': 0.5419}}, train: {'mrr': 0.9933, 'cor': 0.5465, 'loss': 0.2149}
2022-11-30 02:07:31 - INFO - epoch: 4, valid: {2011: {'mrr': 0.1661587953567505, 'hits@1,3,10': [0.07228323072195053, 0.16740424931049347, 0.369666188955307], 'ndcg,@100': [0.3166475905282371, 0.2970438667000405], 'male': 0.5945, 'rmsle': 0.7364, 'cor': 0.5446}}, train: {'mrr': 0.9943, 'cor': 0.551, 'loss': 0.203}
2022-11-30 02:21:11 - INFO - epoch: 5, valid: {2011: {'mrr': 0.17381775379180908, 'hits@1,3,10': [0.0745779350399971, 0.17876850068569183, 0.39086487889289856], 'ndcg,@100': [0.3247773715374465, 0.306889411225569], 'male': 0.5942, 'rmsle': 0.7374, 'cor': 0.5465}}, train: {'mrr': 0.9949, 'cor': 0.5547, 'loss': 0.1957}
2022-11-30 02:36:30 - INFO - epoch: 6, valid: {2011: {'mrr': 0.1878114640712738, 'hits@1,3,10': [0.08523193001747131, 0.19526854157447815, 0.41304704546928406], 'ndcg,@100': [0.33727380367677173, 0.3202113150705835], 'male': 0.5916, 'rmsle': 0.7352, 'cor': 0.5479}}, train: {'mrr': 0.9951, 'cor': 0.5578, 'loss': 0.1911}
2022-11-30 02:52:59 - INFO - epoch: 7, valid: {2011: {'mrr': 0.1948380321264267, 'hits@1,3,10': [0.0901491567492485, 0.20242583751678467, 0.4293285310268402], 'ndcg,@100': [0.3437402449097926, 0.3270378997258877], 'male': 0.5875, 'rmsle': 0.7315, 'cor': 0.5494}}, train: {'mrr': 0.9955, 'cor': 0.5609, 'loss': 0.186}
2022-11-30 03:08:24 - INFO - epoch: 8, valid: {2011: {'mrr': 0.20543718338012695, 'hits@1,3,10': [0.09484783560037613, 0.218434140086174, 0.4517838656902313], 'ndcg,@100': [0.35368851756011027, 0.3374769481534774], 'male': 0.5837, 'rmsle': 0.7288, 'cor': 0.5498}}, train: {'mrr': 0.9958, 'cor': 0.5638, 'loss': 0.1788}
2022-11-30 03:24:53 - INFO - epoch: 9, valid: {2011: {'mrr': 0.23066149652004242, 'hits@1,3,10': [0.11735781282186508, 0.24957656860351562, 0.48150575160980225], 'ndcg,@100': [0.37497522597873034, 0.3589069063427073], 'male': 0.583, 'rmsle': 0.7298, 'cor': 0.5508}}, train: {'mrr': 0.9963, 'cor': 0.5664, 'loss': 0.1725}
2022-11-30 03:41:12 - INFO - epoch: 10, valid: {2011: {'mrr': 0.24104508757591248, 'hits@1,3,10': [0.1203627809882164, 0.26514777541160583, 0.5084958672523499], 'ndcg,@100': [0.38554872364690274, 0.3715358096318676], 'male': 0.5823, 'rmsle': 0.7289, 'cor': 0.5507}}, train: {'mrr': 0.9965, 'cor': 0.5685, 'loss': 0.168}
